Xpos,Ypos,Zpos,DoneFlag
0.41228008,1.579723,0.10201619,false
0.3655968,1.5434892,0.08063447,false
0.31887388,1.5072315,0.056506272,false
0.2721113,1.4709499,0.029629055,false
0.22530895,1.4346443,0.0,true
0.63411367,1.377454,-0.0036253515,false
0.6107587,1.3665248,0.02523561,false
0.5873939,1.3555934,0.051373057,false
0.56401914,1.3446599,0.07478454,false
0.5406345,1.3337241,0.09546787,false
0.51723987,1.3227863,0.11342114,false
0.49383533,1.3118463,0.12864271,false
0.47042084,1.300904,0.14113119,false
0.4469964,1.2899595,0.15088548,false
0.423562,1.279013,0.15790476,false
0.4001176,1.2680643,0.16218847,false
0.37666324,1.2571133,0.1637363,false
0.3531989,1.2461601,0.1625482,false
0.32972452,1.2352049,0.15862392,false
0.30624017,1.2242475,0.1519629,false
0.28274578,1.2132878,0.14256439,false
0.25924137,1.2023259,0.13042729,false
0.23572695,1.191362,0.11555025,false
0.21220247,1.1803957,0.097931676,false
0.18866794,1.1694274,0.07756967,false
0.16512336,1.1584568,0.05446206,false
0.1415687,1.1474841,0.02860641,false
0.11800397,1.1365092,0.0,true
0.5406288,0.51419836,-0.033050407,false
0.51895064,0.50293785,0.002356883,false
0.4972639,0.49167502,0.035047654,false
0.47556862,0.48040992,0.06501881,false
0.4538648,0.4691425,0.092267536,false
0.43215245,0.45787278,0.116791256,false
0.41043153,0.44660076,0.13858768,false
0.38870203,0.43532643,0.1576548,false
0.36696398,0.4240498,0.17399086,false
0.34521732,0.41277087,0.18759435,false
0.32346207,0.40148962,0.19846408,false
0.30169824,0.39020604,0.2065991,false
0.27992582,0.37892017,0.21199873,false
0.25814477,0.36763197,0.2146626,false
0.23635511,0.35634148,0.21459053,false
0.21455684,0.34504867,0.21178243,false
0.19274993,0.33375353,0.20623785,false
0.17093438,0.3224561,0.19795612,false
0.1491102,0.31115633,0.18693627,false
0.12727736,0.29985425,0.17317708,false
0.10543587,0.28854984,0.15667702,false
0.08358572,0.2772431,0.13743435,false
0.06172689,0.26593408,0.11544699,false
0.039859388,0.25462273,0.09071262,false
0.017983202,0.24330904,0.06322864,false
-0.0039016737,0.23199302,0.03299215,false
-0.025795247,0.2206747,0.0,true
1.6795856,2.1009429,-0.027217243,false
1.622744,2.0706947,0.010612889,false
1.5658437,2.04043,0.045729488,false
1.5088847,2.0101485,0.078129224,false
1.4518665,1.9798506,0.10780903,false
1.3947892,1.9495358,0.13476612,false
1.3376528,1.9192045,0.15899794,false
1.2804569,1.8888564,0.18050225,false
1.2232016,1.8584915,0.19927704,false
1.1658866,1.82811,0.2153206,false
1.108512,1.7977116,0.22863145,false
1.0510775,1.7672964,0.23920843,false
0.993583,1.7368646,0.24705061,false
0.9360284,1.7064158,0.25215736,false
0.87841356,1.6759502,0.25452828,false
0.8207384,1.6454676,0.2541633,false
0.7630027,1.6149683,0.25106224,false
0.7052064,1.584452,0.24522464,false
0.64734936,1.553919,0.23664981,false
0.58943146,1.5233688,0.22533673,false
0.53145254,1.4928018,0.21128416,false
0.47341254,1.4622178,0.19449057,false
0.41531125,1.4316168,0.17495415,false
0.3571486,1.4009987,0.1526728,false
0.29892442,1.3703637,0.12764417,false
0.2406386,1.3397115,0.09986562,false
0.182291,1.3090423,0.06933425,false
0.12388151,1.2783561,0.03604687,false
0.06540997,1.2476528,0.0,true
3.222797,2.1596472,-0.014960367,false
3.1453135,2.1214755,0.038537845,false
3.0677207,2.0832775,0.08934699,false
2.9900181,2.0450528,0.13746224,false
2.912206,2.0068016,0.182879,false
2.8342836,1.9685239,0.22559296,false
2.7562506,1.9302194,0.26560003,false
2.678107,1.8918884,0.30289647,false
2.599852,1.8535306,0.33747867,false
2.5214858,1.8151462,0.36934337,false
2.443008,1.776735,0.3984876,false
2.3644178,1.7382969,0.42490858,false
2.2857153,1.699832,0.44860384,false
2.2069001,1.6613402,0.46957114,false
2.127972,1.6228215,0.4878086,false
2.0489302,1.5842758,0.5033145,false
1.969775,1.5457032,0.5160874,false
1.8905057,1.5071034,0.5261263,false
1.8111221,1.4684767,0.5334302,false
1.7316238,1.4298228,0.5379986,false
1.6520103,1.3911418,0.53983116,false
1.5722817,1.3524336,0.53892773,false
1.4924374,1.313698,0.5352882,false
1.4124769,1.2749354,0.528912,false
1.3324002,1.2361454,0.51979846,false
1.2522068,1.197328,0.5079464,false
1.1718963,1.1584833,0.49335453,false
1.0914686,1.1196111,0.47602132,false
1.010923,1.0807115,0.4559449,false
0.93025935,1.0417844,0.4331231,false
0.84947735,1.0028298,0.40755355,false
0.76857656,0.9638476,0.3792335,false
0.6875567,0.9248377,0.34816006,false
0.6064173,0.88580024,0.31432992,false
0.52515817,0.84673506,0.27773958,false
0.4437788,0.80764216,0.23838523,false
0.36227894,0.7685215,0.19626278,false
0.28065822,0.72937304,0.15136783,false
0.19891621,0.6901967,0.103695735,false
0.11705263,0.65099245,0.05324154,false
0.035067074,0.6117603,0.0,true
0.4188393,3.5810866,-0.045441635,false
0.40927127,3.5321765,0.010126071,false
0.3997016,3.483223,0.06300861,false
0.39013022,3.4342258,0.11320095,false
0.3805572,3.385185,0.16069831,false
0.37098253,3.3361003,0.20549619,false
0.36140618,3.286972,0.2475903,false
0.3518282,3.2378,0.28697664,false
0.3422485,3.1885839,0.3236515,false
0.33266717,3.1393237,0.35761136,false
0.32308415,3.0900195,0.388853,false
0.31349948,3.0406709,0.4173735,false
0.30391315,2.9912782,0.4431702,false
0.29432514,2.9418411,0.4662406,false
0.28473544,2.8923597,0.4865826,false
0.2751441,2.8428338,0.5041944,false
0.2655511,2.793263,0.5190742,false
0.2559564,2.7436478,0.5312208,false
0.24636005,2.6939878,0.5406331,false
0.23676202,2.644283,0.5473103,false
0.2271623,2.5945332,0.5512519,false
0.21756093,2.5447385,0.5524576,false
0.20795788,2.4948986,0.5509273,false
0.19835316,2.4450138,0.5466608,false
0.18874677,2.3950834,0.5396575,false
0.17913869,2.345108,0.5299165,false
0.16952895,2.295087,0.51743686,false
0.15991752,2.2450206,0.50221705,false
0.15030442,2.1949086,0.48425552,false
0.14068964,2.144751,0.46355027,false
0.13107319,2.0945477,0.44009912,false
0.12145505,2.0442986,0.41389963,false
0.11183524,1.9940034,0.384949,false
0.10221375,1.9436624,0.35324425,false
0.09259057,1.8932753,0.318782,false
0.08296572,1.842842,0.28155872,false
0.07333918,1.7923625,0.2415705,false
0.063710965,1.7418367,0.19881321,false
0.05408106,1.6912644,0.15328239,false
0.044449475,1.6406456,0.10497331,false
0.034816206,1.5899804,0.05388095,false
0.025181254,1.5392684,0.0,true
0.34882107,1.6639717,-0.00526128,false
0.2936591,1.5757855,0.0049712597,false
0.23844177,1.4874579,0.012468908,false
0.18316902,1.3989881,0.017231058,false
0.12784073,1.3103759,0.01925737,false
0.07245678,1.2216208,0.018547764,false
0.017017057,1.1327224,0.015102031,false
-0.03847855,1.04368,0.008919693,false
-0.09403015,0.9544932,0.0,true
0.2341006,1.0048267,-0.0048225843,false
0.18704388,0.96259993,0.0004868764,false
0.13994691,0.9203408,0.0030605462,false
0.09280961,0.87804914,0.0028983047,false
0.045631934,0.835725,0.0,true
6.3175626,3.2731638,-0.05455477,false
6.2433496,3.2421634,0.049636234,false
6.169036,3.2111454,0.1512788,false
6.094622,3.18011,0.2503636,false
6.0201073,3.1490571,0.34688148,false
5.945492,3.1179867,0.44082364,false
5.8707747,3.0868988,0.5321813,false
5.795956,3.0557933,0.62094605,false
5.721036,3.0246701,0.7071096,false
5.6460133,2.9935296,0.79066384,false
5.5708885,2.9623713,0.8716011,false
5.495661,2.9311953,0.94991374,false
5.42033,2.9000018,1.0255944,false
5.3448963,2.8687904,1.0986359,false
5.2693586,2.8375616,1.1690315,false
5.1937175,2.806315,1.2367744,false
5.1179724,2.7750504,1.3018583,false
5.0421224,2.7437682,1.3642769,false
4.966168,2.7124684,1.4240243,false
4.8901086,2.6811507,1.4810951,false
4.813944,2.649815,1.5354836,false
4.7376738,2.6184616,1.5871847,false
4.661298,2.5870905,1.6361933,false
4.5848155,2.5557013,1.682505,false
4.508227,2.5242944,1.7261153,false
4.431532,2.4928694,1.7670202,false
4.354729,2.4614265,1.8052155,false
4.2778196,2.4299657,1.8406978,false
4.2008023,2.3984869,1.8734636,false
4.1236773,2.36699,1.90351,false
4.0464435,2.3354752,1.9308339,false
3.9691014,2.3039422,1.9554329,false
3.8916507,2.2723913,1.9773047,false
3.8140905,2.2408223,1.9964472,false
3.736421,2.2092352,2.0128586,false
3.6586418,2.17763,2.0265377,false
3.5807524,2.1460066,2.037483,false
3.5027525,2.1143649,2.0456936,false
3.424642,2.082705,2.0511687,false
3.3464208,2.051027,2.053908,false
3.2680879,2.019331,2.0539117,false
3.1896434,1.9876165,2.0511792,false
3.1110868,1.9558837,2.04571,false
3.032418,1.9241327,2.037504,false
2.9536366,1.8923634,2.0265598,false
2.8747423,1.8605758,2.0128763,false
2.795735,1.8287697,1.996452,false
2.7166135,1.7969453,1.977285,false
2.6373785,1.7651025,1.9553735,false
2.5580292,1.7332413,1.9307151,false
2.4785652,1.7013617,1.9033071,false
2.3989863,1.6694635,1.8731467,false
2.3192923,1.6375469,1.8402307,false
2.2394826,1.6056118,1.8045557,false
2.159557,1.5736582,1.7661179,false
2.0795152,1.541686,1.7249135,false
1.9993567,1.5096953,1.6809381,false
1.9190814,1.4776859,1.6341871,false
1.8386889,1.445658,1.5846556,false
1.7581786,1.4136113,1.5323386,false
1.6775504,1.3815461,1.4772305,false
1.5968039,1.3494622,1.4193258,false
